Population Aged 15 Years and Over 2011 to 2016 (Number) by Highest,,,,
"Level of Ed, Sex, Age at which Full Time Education Ceased, County and",,,,
City and Census Year,,,,
,,,,
 , , ,Dublin City,854
 , , ,Dún Laoghaire-Rathdown,329
 , , ,Fingal,683
 , , ,South Dublin,587
 , , ,Kildare,519
 , , ,Kilkenny,252
 , , ,Laois,179
 , , ,Longford,120
 , , ,Louth,295
 , , ,Meath,477
 , , ,Offaly,195
 , , ,Westmeath,201
 , , ,Wexford,344
 , , ,Wicklow,300
 , , ,Clare,274
 , , ,Cork City,253
 , , ,Cork County,1175
 , , ,Kerry,370
 , , ,Limerick City and County,420
 , , ,Tipperary,332
 , , ,Waterford City and County,223
 , , ,Galway City,207
 , , ,Galway County,459
 , , ,Leitrim,69
 , , ,Mayo,293
 , , ,Roscommon,148
 , , ,Sligo,139
 , , ,Cavan,246
 , , ,Donegal,216
 , , ,Monaghan,122
 , ,21 years,,
 , , ,State,6185
 , , ,Carlow,71
 , , ,Dublin City,565
 , , ,Dún Laoghaire-Rathdown,260
 , , ,Fingal,434
 , , ,South Dublin,372
 , , ,Kildare,317
 , , ,Kilkenny,123
 , , ,Laois,87
 , , ,Longford,66
 , , ,Louth,160
 , , ,Meath,265
 , , ,Offaly,86
 , , ,Westmeath,96
 , , ,Wexford,209
 , , ,Wicklow,181
 , , ,Clare,147
 , , ,Cork City,183
 , , ,Cork County,772
 , , ,Kerry,219
 , , ,Limerick City and County,221
 , , ,Tipperary,186
 , , ,Waterford City and County,140
 , , ,Galway City,115
 , , ,Galway County,241
 , , ,Leitrim,37
 , , ,Mayo,162
 , , ,Roscommon,72
 , , ,Sligo,87
 , , ,Cavan,117
 , , ,Donegal,131
 , , ,Monaghan,63
 , ,22 years,,
 , , ,State,3532
 , , ,Carlow,42
 , , ,Dublin City,384
 , , ,Dún Laoghaire-Rathdown,159
 , , ,Fingal,226
 , , ,South Dublin,217
 , , ,Kildare,189
 , , ,Kilkenny,65
 , , ,Laois,51
 , , ,Longford,26
 , , ,Louth,70
 , , ,Meath,163
 , , ,Offaly,53
 , , ,Westmeath,66
 , , ,Wexford,95
 , , ,Wicklow,107
 , , ,Clare,82
 , , ,Cork City,98
 , , ,Cork County,402
 , , ,Kerry,117
 , , ,Limerick City and County,135
 , , ,Tipperary,99
 , , ,Waterford City and County,69
 , , ,Galway City,72
 , , ,Galway County,137
 , , ,Leitrim,26
 , , ,Mayo,101
 , , ,Roscommon,32
 , , ,Sligo,36
 , , ,Cavan,80
 , , ,Donegal,89
 , , ,Monaghan,44
 , ,23 years,,
 , , ,State,1825
 , , ,Carlow,24
 , , ,Dublin City,226
 , , ,Dún Laoghaire-Rathdown,70
 , , ,Fingal,131
 , , ,South Dublin,110
 , , ,Kildare,94
 , , ,Kilkenny,29
 , , ,Laois,26
 , , ,Longford,17
 , , ,Louth,31
 , , ,Meath,69
 , , ,Offaly,27
 , , ,Westmeath,29
 , , ,Wexford,68
 , , ,Wicklow,57
 , , ,Clare,49
 , , ,Cork City,55
 , , ,Cork County,209
 , , ,Kerry,51
 , , ,Limerick City and County,70
 , , ,Tipperary,46
 , , ,Waterford City and County,36
 , , ,Galway City,48
 , , ,Galway County,63
 , , ,Leitrim,11
 , , ,Mayo,49
 , , ,Roscommon,30
 , , ,Sligo,16
 , , ,Cavan,34
 , , ,Donegal,36
 , , ,Monaghan,14
 , ,24 years,,
 , , ,State,1263
 , , ,Carlow,21
 , , ,Dublin City,161
 , , ,Dún Laoghaire-Rathdown,51
 , , ,Fingal,87
 , , ,South Dublin,96
 , , ,Kildare,57
 , , ,Kilkenny,25
 , , ,Laois,26
 , , ,Longford,15
 , , ,Louth,35
 , , ,Meath,50
 , , ,Offaly,19
 , , ,Westmeath,17
 , , ,Wexford,34
 , , ,Wicklow,43
 , , ,Clare,24
 , , ,Cork City,42
 , , ,Cork County,109
 , , ,Kerry,46
 , , ,Limerick City and County,45
 , , ,Tipperary,31
 , , ,Waterford City and County,24
 , , ,Galway City,25
 , , ,Galway County,52
 , , ,Leitrim,9
 , , ,Mayo,33
 , , ,Roscommon,12
 , , ,Sligo,13
 , , ,Cavan,19
 , , ,Donegal,28
 , , ,Monaghan,14
 , ,25 years and over,,
 , , ,State,5580
 , , ,Carlow,46
 , , ,Dublin City,740
 , , ,Dún Laoghaire-Rathdown,211
 , , ,Fingal,384
 , , ,South Dublin,348
 , , ,Kildare,246
 , , ,Kilkenny,119
 , , ,Laois,89
 , , ,Longford,46
 , , ,Louth,171
 , , ,Meath,181
 , , ,Offaly,66
 , , ,Westmeath,96
 , , ,Wexford,158
 , , ,Wicklow,191
 , , ,Clare,139
 , , ,Cork City,222
 , , ,Cork County,539
 , , ,Kerry,167
 , , ,Limerick City and County,204
 , , ,Tipperary,160
 , , ,Waterford City and County,164
 , , ,Galway City,119
 , , ,Galway County,167
 , , ,Leitrim,43
 , , ,Mayo,134
 , , ,Roscommon,73
 , , ,Sligo,96
 , , ,Cavan,87
 , , ,Donegal,112
 , , ,Monaghan,62
 ,Female,,,
 , ,18 years,,
 , , ,State,27536
 , , ,Carlow,376
 , , ,Dublin City,2289
 , , ,Dún Laoghaire-Rathdown,907
 , , ,Fingal,1735
 , , ,South Dublin,1592
 , , ,Kildare,1352
 , , ,Kilkenny,675
 , , ,Laois,545
 , , ,Longford,265
 , , ,Louth,726
 , , ,Meath,1293
 , , ,Offaly,507
 , , ,Westmeath,490
 , , ,Wexford,1208
 , , ,Wicklow,923
 , , ,Clare,738
 , , ,Cork City,555
 , , ,Cork County,2481
 , , ,Kerry,852
 , , ,Limerick City and County,1135
 , , ,Tipperary,1049
 , , ,Waterford City and County,740
 , , ,Galway City,325
 , , ,Galway County,1077
 , , ,Leitrim,194
 , , ,Mayo,847
 , , ,Roscommon,408
 , , ,Sligo,401
 , , ,Cavan,584
 , , ,Donegal,849
 , , ,Monaghan,418
 , ,19 years,,
 , , ,State,18235
 , , ,Carlow,279
 , , ,Dublin City,1309
 , , ,Dún Laoghaire-Rathdown,576
 , , ,Fingal,1158
 , , ,South Dublin,962
 , , ,Kildare,930
 , , ,Kilkenny,448
 , , ,Laois,426
 , , ,Longford,155
 , , ,Louth,547
 , , ,Meath,892
 , , ,Offaly,301
 , , ,Westmeath,320
 , , ,Wexford,755
 , , ,Wicklow,609
 , , ,Clare,469
 , , ,Cork City,382
 , , ,Cork County,2046
 , , ,Kerry,567
 , , ,Limerick City and County,774
 , , ,Tipperary,688
 , , ,Waterford City and County,481
 , , ,Galway City,227
 , , ,Galway County,751
 , , ,Leitrim,124
 , , ,Mayo,520
 , , ,Roscommon,239
 , , ,Sligo,221
 , , ,Cavan,395
 , , ,Donegal,445
 , , ,Monaghan,239
 , ,20 years,,
 , , ,State,12555
 , , ,Carlow,156
 , , ,Dublin City,929
 , , ,Dún Laoghaire-Rathdown,443
 , , ,Fingal,813
 , , ,South Dublin,681
 , , ,Kildare,611
 , , ,Kilkenny,300
 , , ,Laois,245
 , , ,Longford,117
 , , ,Louth,343
 , , ,Meath,578
 , , ,Offaly,202
 , , ,Westmeath,192
 , , ,Wexford,474
 , , ,Wicklow,410
 , , ,Clare,275
 , , ,Cork City,292
 , , ,Cork County,1504
 , , ,Kerry,444
 , , ,Limerick City and County,555
 , , ,Tipperary,395
 , , ,Waterford City and County,298
 , , ,Galway City,199
 , , ,Galway County,461
 , , ,Leitrim,76
 , , ,Mayo,337
 , , ,Roscommon,156
 , , ,Sligo,161
 , , ,Cavan,300
 , , ,Donegal,399
 , , ,Monaghan,209
 , ,21 years,,
 , , ,State,6144
 , , ,Carlow,84
 , , ,Dublin City,497
 , , ,Dún Laoghaire-Rathdown,213
 , , ,Fingal,387
 , , ,South Dublin,335
 , , ,Kildare,242
 , , ,Kilkenny,137
 , , ,Laois,101
 , , ,Longford,56
 , , ,Louth,178
 , , ,Meath,253
 , , ,Offaly,85
 , , ,Westmeath,114
 , , ,Wexford,209
 , , ,Wicklow,185
 , , ,Clare,165
 , , ,Cork City,148
 , , ,Cork County,758
 , , ,Kerry,217
 , , ,Limerick City and County,228
 , , ,Tipperary,207
 , , ,Waterford City and County,143
 , , ,Galway City,114
 , , ,Galway County,274
 , , ,Leitrim,35
 , , ,Mayo,179
 , , ,Roscommon,82
 , , ,Sligo,79
 , , ,Cavan,145
 , , ,Donegal,199
 , , ,Monaghan,95
 , ,22 years,,
 , , ,State,3455
 , , ,Carlow,47
 , , ,Dublin City,324
 , , ,Dún Laoghaire-Rathdown,125
 , , ,Fingal,208
 , , ,South Dublin,200
 , , ,Kildare,159
 , , ,Kilkenny,66
 , , ,Laois,72
 , , ,Longford,38
 , , ,Louth,100
 , , ,Meath,158
 , , ,Offaly,53
 , , ,Westmeath,50
 , , ,Wexford,110
 , , ,Wicklow,94
 , , ,Clare,78
 , , ,Cork City,86
 , , ,Cork County,417
 , , ,Kerry,103
 , , ,Limerick City and County,124
 , , ,Tipperary,100
 , , ,Waterford City and County,83
 , , ,Galway City,70
 , , ,Galway County,128
 , , ,Leitrim,20
 , , ,Mayo,116
 , , ,Roscommon,39
 , , ,Sligo,53
 , , ,Cavan,81
 , , ,Donegal,96
 , , ,Monaghan,57
 , ,23 years,,
 , , ,State,1811
 , , ,Carlow,22
 , , ,Dublin City,201
 , , ,Dún Laoghaire-Rathdown,52
 , , ,Fingal,125
 , , ,South Dublin,92
 , , ,Kildare,85
 , , ,Kilkenny,38
 , , ,Laois,44
 , , ,Longford,17
 , , ,Louth,52
 , , ,Meath,64
 , , ,Offaly,27
 , , ,Westmeath,35
 , , ,Wexford,63
 , , ,Wicklow,58
 , , ,Clare,42
 , , ,Cork City,51
 , , ,Cork County,173
 , , ,Kerry,69
 , , ,Limerick City and County,75
 , , ,Tipperary,61
 , , ,Waterford City and County,43
 , , ,Galway City,43
 , , ,Galway County,56
 , , ,Leitrim,9
 , , ,Mayo,49
 , , ,Roscommon,27
 , , ,Sligo,29
 , , ,Cavan,34
 , , ,Donegal,49
 , , ,Monaghan,26
 , ,24 years,,
 , , ,State,1403
 , , ,Carlow,15
 , , ,Dublin City,122
 , , ,Dún Laoghaire-Rathdown,59
 , , ,Fingal,92
 , , ,South Dublin,75
 , , ,Kildare,55
 , , ,Kilkenny,28
 , , ,Laois,42
 , , ,Longford,13
 , , ,Louth,40
 , , ,Meath,43
 , , ,Offaly,25
 , , ,Westmeath,22
 , , ,Wexford,42
 , , ,Wicklow,40
 , , ,Clare,33
 , , ,Cork City,48
 , , ,Cork County,155
 , , ,Kerry,52
 , , ,Limerick City and County,59
 , , ,Tipperary,45
 , , ,Waterford City and County,30
 , , ,Galway City,23
 , , ,Galway County,67
 , , ,Leitrim,8
 , , ,Mayo,47
 , , ,Roscommon,10
 , , ,Sligo,24
 , , ,Cavan,29
 , , ,Donegal,43
 , , ,Monaghan,17
 , ,25 years and over,,
 , , ,State,9215
 , , ,Carlow,122
 , , ,Dublin City,869
 , , ,Dún Laoghaire-Rathdown,371
 , , ,Fingal,528
 , , ,South Dublin,490
 , , ,Kildare,382
 , , ,Kilkenny,229
 , , ,Laois,198
 , , ,Longford,81
 , , ,Louth,277
 , , ,Meath,364
 , , ,Offaly,121
 , , ,Westmeath,160
 , , ,Wexford,381
 , , ,Wicklow,361
 , , ,Clare,252
 , , ,Cork City,249
 , , ,Cork County,915
 , , ,Kerry,261
 , , ,Limerick City and County,326
 , , ,Tipperary,308
 , , ,Waterford City and County,296
 , , ,Galway City,150
 , , ,Galway County,317
 , , ,Leitrim,60
 , , ,Mayo,243
 , , ,Roscommon,135
 , , ,Sligo,133
 , , ,Cavan,219
 , , ,Donegal,308
 , , ,Monaghan,109
Advanced certificate/completed apprenticeship,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,16775
 , , ,Carlow,239
 , , ,Dublin City,1114
 , , ,Dún Laoghaire-Rathdown,424
 , , ,Fingal,928
 , , ,South Dublin,908
 , , ,Kildare,842
 , , ,Kilkenny,528
 , , ,Laois,355
 , , ,Longford,148
 , , ,Louth,411
 , , ,Meath,811
 , , ,Offaly,336
 , , ,Westmeath,316
 , , ,Wexford,641
 , , ,Wicklow,556
 , , ,Clare,548
 , , ,Cork City,317
 , , ,Cork County,1878
 , , ,Kerry,550
 , , ,Limerick City and County,817
 , , ,Tipperary,781
 , , ,Waterford City and County,447
 , , ,Galway City,147
 , , ,Galway County,710
 , , ,Leitrim,113
 , , ,Mayo,481
 , , ,Roscommon,216
 , , ,Sligo,250
 , , ,Cavan,281
 , , ,Donegal,436
 , , ,Monaghan,246
 , ,19 years,,
 , , ,State,7962
 , , ,Carlow,123
 , , ,Dublin City,461
 , , ,Dún Laoghaire-Rathdown,174
 , , ,Fingal,372
 , , ,South Dublin,360
 , , ,Kildare,349
 , , ,Kilkenny,273
 , , ,Laois,181
 , , ,Longford,71
 , , ,Louth,207
 , , ,Meath,355
 , , ,Offaly,168
 , , ,Westmeath,177
 , , ,Wexford,355
 , , ,Wicklow,243
 , , ,Clare,239
 , , ,Cork City,120
 , , ,Cork County,947
 , , ,Kerry,311
 , , ,Limerick City and County,321
 , , ,Tipperary,344
 , , ,Waterford City and County,232
 , , ,Galway City,81
 , , ,Galway County,326
 , , ,Leitrim,77
 , , ,Mayo,262
 , , ,Roscommon,124
 , , ,Sligo,128
 , , ,Cavan,205
 , , ,Donegal,255
 , , ,Monaghan,121
 , ,20 years,,
 , , ,State,9965
 , , ,Carlow,185
 , , ,Dublin City,590
 , , ,Dún Laoghaire-Rathdown,223
 , , ,Fingal,547
 , , ,South Dublin,419
 , , ,Kildare,461
 , , ,Kilkenny,322
 , , ,Laois,187
 , , ,Longford,107
 , , ,Louth,246
 , , ,Meath,468
 , , ,Offaly,216
 , , ,Westmeath,205
 , , ,Wexford,393
 , , ,Wicklow,309
 , , ,Clare,296
 , , ,Cork City,173
 , , ,Cork County,1132
 , , ,Kerry,420
 , , ,Limerick City and County,429
 , , ,Tipperary,378
 , , ,Waterford City and County,248
 , , ,Galway City,103
 , , ,Galway County,462
 , , ,Leitrim,90
 , , ,Mayo,302
 , , ,Roscommon,192
 , , ,Sligo,138
 , , ,Cavan,261
 , , ,Donegal,311
 , , ,Monaghan,152
 , ,21 years,,
 , , ,State,9471
 , , ,Carlow,145
 , , ,Dublin City,565
 , , ,Dún Laoghaire-Rathdown,256
 , , ,Fingal,470
 , , ,South Dublin,437
 , , ,Kildare,449
 , , ,Kilkenny,314
 , , ,Laois,175
 , , ,Longford,103
 , , ,Louth,245
 , , ,Meath,418
 , , ,Offaly,188
 , , ,Westmeath,196
 , , ,Wexford,347
 , , ,Wicklow,299
 , , ,Clare,309
 , , ,Cork City,178
 , , ,Cork County,1138
 , , ,Kerry,381
 , , ,Limerick City and County,430
 , , ,Tipperary,406
 , , ,Waterford City and County,226
 , , ,Galway City,91
 , , ,Galway County,426
 , , ,Leitrim,83
 , , ,Mayo,310
 , , ,Roscommon,153
 , , ,Sligo,153
 , , ,Cavan,227
 , , ,Donegal,239
 , , ,Monaghan,114
 , ,22 years,,
 , , ,State,7423
 , , ,Carlow,100
 , , ,Dublin City,439
 , , ,Dún Laoghaire-Rathdown,168
 , , ,Fingal,352
 , , ,South Dublin,301
 , , ,Kildare,394
 , , ,Kilkenny,221
 , , ,Laois,150
 , , ,Longford,65
 , , ,Louth,187
 , , ,Meath,397
 , , ,Offaly,151
 , , ,Westmeath,142
 , , ,Wexford,277
 , , ,Wicklow,265
 , , ,Clare,232
 , , ,Cork City,115
 , , ,Cork County,863
 , , ,Kerry,316
 , , ,Limerick City and County,351
 , , ,Tipperary,301
 , , ,Waterford City and County,197
 , , ,Galway City,68
 , , ,Galway County,370
 , , ,Leitrim,53
 , , ,Mayo,283
 , , ,Roscommon,127
 , , ,Sligo,115
 , , ,Cavan,154
 , , ,Donegal,177
 , , ,Monaghan,92
 , ,23 years,,
 , , ,State,3647
 , , ,Carlow,61
 , , ,Dublin City,225
 , , ,Dún Laoghaire-Rathdown,96
 , , ,Fingal,204
 , , ,South Dublin,145
 , , ,Kildare,167
 , , ,Kilkenny,99
 , , ,Laois,84
 , , ,Longford,31
 , , ,Louth,103
 , , ,Meath,203
 , , ,Offaly,78
 , , ,Westmeath,67
 , , ,Wexford,133
 , , ,Wicklow,122
 , , ,Clare,96
 , , ,Cork City,87
 , , ,Cork County,410
 , , ,Kerry,123
 , , ,Limerick City and County,158
 , , ,Tipperary,156
 , , ,Waterford City and County,94
 , , ,Galway City,45
 , , ,Galway County,182
 , , ,Leitrim,31
 , , ,Mayo,119
 , , ,Roscommon,54
 , , ,Sligo,67
 , , ,Cavan,80
 , , ,Donegal,83
 , , ,Monaghan,44
 , ,24 years,,
 , , ,State,2523
 , , ,Carlow,39
 , , ,Dublin City,197
 , , ,Dún Laoghaire-Rathdown,71
 , , ,Fingal,113
 , , ,South Dublin,119
 , , ,Kildare,108
 , , ,Kilkenny,77
 , , ,Laois,57
 , , ,Longford,21
 , , ,Louth,74
 , , ,Meath,137
 , , ,Offaly,48
 , , ,Westmeath,51
 , , ,Wexford,98
 , , ,Wicklow,84
 , , ,Clare,67
 , , ,Cork City,45
 , , ,Cork County,296
 , , ,Kerry,86
 , , ,Limerick City and County,85
 , , ,Tipperary,92
 , , ,Waterford City and County,83
 , , ,Galway City,32
 , , ,Galway County,123
 , , ,Leitrim,19
 , , ,Mayo,84
 , , ,Roscommon,41
 , , ,Sligo,29
 , , ,Cavan,48
 , , ,Donegal,60
 , , ,Monaghan,39
 , ,25 years and over,,
 , , ,State,6207
 , , ,Carlow,74
 , , ,Dublin City,635
 , , ,Dún Laoghaire-Rathdown,226
 , , ,Fingal,361
 , , ,South Dublin,356
 , , ,Kildare,309
 , , ,Kilkenny,143
 , , ,Laois,119
 , , ,Longford,44
 , , ,Louth,144
 , , ,Meath,248
 , , ,Offaly,96
 , , ,Westmeath,121
 , , ,Wexford,188
 , , ,Wicklow,232
 , , ,Clare,177
 , , ,Cork City,186
 , , ,Cork County,624
 , , ,Kerry,221
 , , ,Limerick City and County,225
 , , ,Tipperary,200
 , , ,Waterford City and County,187
 , , ,Galway City,98
 , , ,Galway County,269
 , , ,Leitrim,36
 , , ,Mayo,170
 , , ,Roscommon,100
 , , ,Sligo,79
 , , ,Cavan,105
 , , ,Donegal,167
 , , ,Monaghan,67
 ,Female,,,
 , ,18 years,,
 , , ,State,9159
 , , ,Carlow,115
 , , ,Dublin City,792
 , , ,Dún Laoghaire-Rathdown,355
 , , ,Fingal,633
 , , ,South Dublin,484
 , , ,Kildare,472
 , , ,Kilkenny,241
 , , ,Laois,157
 , , ,Longford,76
 , , ,Louth,263
 , , ,Meath,417
 , , ,Offaly,153
 , , ,Westmeath,171
 , , ,Wexford,354
 , , ,Wicklow,301
 , , ,Clare,242
 , , ,Cork City,169
 , , ,Cork County,836
 , , ,Kerry,312
 , , ,Limerick City and County,367
 , , ,Tipperary,370
 , , ,Waterford City and County,249
 , , ,Galway City,101
 , , ,Galway County,368
 , , ,Leitrim,80
 , , ,Mayo,279
 , , ,Roscommon,128
 , , ,Sligo,132
 , , ,Cavan,161
 , , ,Donegal,274
 , , ,Monaghan,107
 , ,19 years,,
 , , ,State,6752
 , , ,Carlow,92
 , , ,Dublin City,474
 , , ,Dún Laoghaire-Rathdown,244
 , , ,Fingal,371
 , , ,South Dublin,317
 , , ,Kildare,351
 , , ,Kilkenny,191
 , , ,Laois,118
 , , ,Longford,54
 , , ,Louth,213
 , , ,Meath,302
 , , ,Offaly,123
 , , ,Westmeath,153
 , , ,Wexford,273
 , , ,Wicklow,194
 , , ,Clare,197
 , , ,Cork City,134
 , , ,Cork County,683
 , , ,Kerry,288
 , , ,Limerick City and County,303
 , , ,Tipperary,291
 , , ,Waterford City and County,165
 , , ,Galway City,96
 , , ,Galway County,234
 , , ,Leitrim,53
 , , ,Mayo,187
 , , ,Roscommon,97
 , , ,Sligo,114
 , , ,Cavan,146
 , , ,Donegal,213
 , , ,Monaghan,81
 , ,20 years,,
 , , ,State,7050
 , , ,Carlow,74
 , , ,Dublin City,483
 , , ,Dún Laoghaire-Rathdown,252
 , , ,Fingal,384
 , , ,South Dublin,324
 , , ,Kildare,331
 , , ,Kilkenny,195
 , , ,Laois,112
 , , ,Longford,66
 , , ,Louth,193
 , , ,Meath,275
 , , ,Offaly,129
 , , ,Westmeath,140
 , , ,Wexford,272
 , , ,Wicklow,227
 , , ,Clare,215
 , , ,Cork City,133
 , , ,Cork County,844
 , , ,Kerry,289
 , , ,Limerick City and County,285
 , , ,Tipperary,263
 , , ,Waterford City and County,180
 , , ,Galway City,98
 , , ,Galway County,294
 , , ,Leitrim,59
 , , ,Mayo,217
 , , ,Roscommon,112
 , , ,Sligo,77
 , , ,Cavan,165
 , , ,Donegal,253
 , , ,Monaghan,109
 , ,21 years,,
 , , ,State,4604
 , , ,Carlow,52
 , , ,Dublin City,289
 , , ,Dún Laoghaire-Rathdown,195
 , , ,Fingal,293
 , , ,South Dublin,213
 , , ,Kildare,185
 , , ,Kilkenny,110
 , , ,Laois,72
 , , ,Longford,40
 , , ,Louth,96
 , , ,Meath,200
 , , ,Offaly,77
 , , ,Westmeath,100
 , , ,Wexford,177
 , , ,Wicklow,143
 , , ,Clare,130
 , , ,Cork City,97
 , , ,Cork County,561
 , , ,Kerry,200
 , , ,Limerick City and County,186
 , , ,Tipperary,166
 , , ,Waterford City and County,113
 , , ,Galway City,77
 , , ,Galway County,184
 , , ,Leitrim,38
 , , ,Mayo,137
 , , ,Roscommon,77
 , , ,Sligo,75
 , , ,Cavan,83
 , , ,Donegal,162
 , , ,Monaghan,76
 , ,22 years,,
 , , ,State,2837
 , , ,Carlow,37
 , , ,Dublin City,217
 , , ,Dún Laoghaire-Rathdown,128
 , , ,Fingal,170
 , , ,South Dublin,143
 , , ,Kildare,113
 , , ,Kilkenny,68
 , , ,Laois,48
 , , ,Longford,30
 , , ,Louth,65
 , , ,Meath,132
 , , ,Offaly,55
 , , ,Westmeath,46
 , , ,Wexford,105
 , , ,Wicklow,66
 , , ,Clare,65
 , , ,Cork City,70
 , , ,Cork County,311
 , , ,Kerry,112
 , , ,Limerick City and County,128
 , , ,Tipperary,110
 , , ,Waterford City and County,75
 , , ,Galway City,38
 , , ,Galway County,112
 , , ,Leitrim,19
 , , ,Mayo,86
 , , ,Roscommon,28
 , , ,Sligo,56
 , , ,Cavan,67
 , , ,Donegal,90
 , , ,Monaghan,47
 , ,23 years,,
 , , ,State,1538
 , , ,Carlow,21
 , , ,Dublin City,126
 , , ,Dún Laoghaire-Rathdown,72
 , , ,Fingal,78
 , , ,South Dublin,85
 , , ,Kildare,73
 , , ,Kilkenny,34
 , , ,Laois,27
 , , ,Longford,16
 , , ,Louth,48
 , , ,Meath,61
 , , ,Offaly,20
 , , ,Westmeath,33
 , , ,Wexford,56
 , , ,Wicklow,39
 , , ,Clare,37
 , , ,Cork City,48
 , , ,Cork County,158
 , , ,Kerry,55
 , , ,Limerick City and County,60
 , , ,Tipperary,49
 , , ,Waterford City and County,45
 , , ,Galway City,30
 , , ,Galway County,61
 , , ,Leitrim,8
 , , ,Mayo,42
 , , ,Roscommon,26
 , , ,Sligo,25
 , , ,Cavan,33
 , , ,Donegal,45
 , , ,Monaghan,27
 , ,24 years,,
 , , ,State,1015
 , , ,Carlow,8
 , , ,Dublin City,110
 , , ,Dún Laoghaire-Rathdown,48
 , , ,Fingal,52
 , , ,South Dublin,54
 , , ,Kildare,50
 , , ,Kilkenny,26
 , , ,Laois,13
 , , ,Longford,2
 , , ,Louth,20
 , , ,Meath,47
 , , ,Offaly,17
 , , ,Westmeath,11
 , , ,Wexford,41
 , , ,Wicklow,33
 , , ,Clare,25
 , , ,Cork City,28
 , , ,Cork County,110
 , , ,Kerry,40
 , , ,Limerick City and County,35
 , , ,Tipperary,35
 , , ,Waterford City and County,16
 , , ,Galway City,18
 , , ,Galway County,45
 , , ,Leitrim,8
 , , ,Mayo,31
 , , ,Roscommon,8
 , , ,Sligo,17
 , , ,Cavan,19
 , , ,Donegal,34
 , , ,Monaghan,14
 , ,25 years and over,,
 , , ,State,5235
 , , ,Carlow,88
 , , ,Dublin City,477
 , , ,Dún Laoghaire-Rathdown,226
 , , ,Fingal,293
 , , ,South Dublin,237
 , , ,Kildare,202
 , , ,Kilkenny,145
 , , ,Laois,105
 , , ,Longford,52
 , , ,Louth,134
 , , ,Meath,202
 , , ,Offaly,75
 , , ,Westmeath,105
 , , ,Wexford,186
 , , ,Wicklow,202
 , , ,Clare,127
 , , ,Cork City,128
 , , ,Cork County,521
 , , ,Kerry,182
 , , ,Limerick City and County,203
 , , ,Tipperary,217
 , , ,Waterford City and County,153
 , , ,Galway City,98
 , , ,Galway County,209
 , , ,Leitrim,38
 , , ,Mayo,165
 , , ,Roscommon,72
 , , ,Sligo,60
 , , ,Cavan,95
 , , ,Donegal,153
 , , ,Monaghan,85
Higher certificate,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,7165
 , , ,Carlow,79
 , , ,Dublin City,754
 , , ,Dún Laoghaire-Rathdown,377
 , , ,Fingal,606
 , , ,South Dublin,481
 , , ,Kildare,408
 , , ,Kilkenny,153
 , , ,Laois,99
 , , ,Longford,48
 , , ,Louth,154
 , , ,Meath,349
 , , ,Offaly,115
 , , ,Westmeath,135
 , , ,Wexford,250
 , , ,Wicklow,254
 , , ,Clare,181
 , , ,Cork City,156
 , , ,Cork County,643
 , , ,Kerry,184
 , , ,Limerick City and County,255
 , , ,Tipperary,205
 , , ,Waterford City and County,197
 , , ,Galway City,103
 , , ,Galway County,219
 , , ,Leitrim,56
 , , ,Mayo,160
 , , ,Roscommon,99
 , , ,Sligo,94
 , , ,Cavan,86
 , , ,Donegal,208
 , , ,Monaghan,57
 , ,19 years,,
 , , ,State,4499
 , , ,Carlow,68
 , , ,Dublin City,400
 , , ,Dún Laoghaire-Rathdown,172
 , , ,Fingal,300
 , , ,South Dublin,254
 , , ,Kildare,219
 , , ,Kilkenny,121
 , , ,Laois,77
 , , ,Longford,47
 , , ,Louth,155
 , , ,Meath,209
 , , ,Offaly,49
 , , ,Westmeath,93
 , , ,Wexford,170
 , , ,Wicklow,156
 , , ,Clare,107
 , , ,Cork City,76
 , , ,Cork County,426
 , , ,Kerry,142
 , , ,Limerick City and County,157
 , , ,Tipperary,148
 , , ,Waterford City and County,107
 , , ,Galway City,85
 , , ,Galway County,189
 , , ,Leitrim,37
 , , ,Mayo,109
 , , ,Roscommon,61
 , , ,Sligo,78
 , , ,Cavan,86
 , , ,Donegal,151
 , , ,Monaghan,50
 , ,20 years,,
 , , ,State,7601
 , , ,Carlow,103
 , , ,Dublin City,613
 , , ,Dún Laoghaire-Rathdown,307
 , , ,Fingal,493
 , , ,South Dublin,365
 , , ,Kildare,391
 , , ,Kilkenny,173
 , , ,Laois,126
 , , ,Longford,74
 , , ,Louth,208
 , , ,Meath,318
 , , ,Offaly,124
 , , ,Westmeath,166
 , , ,Wexford,294
 , , ,Wicklow,253
 , , ,Clare,215
 , , ,Cork City,179
 , , ,Cork County,771
 , , ,Kerry,252
 , , ,Limerick City and County,322
 , , ,Tipperary,290
 , , ,Waterford City and County,173
 , , ,Galway City,94
 , , ,Galway County,323
 , , ,Leitrim,62
 , , ,Mayo,216
 , , ,Roscommon,133
 , , ,Sligo,99
 , , ,Cavan,120
 , , ,Donegal,239
 , , ,Monaghan,105
 , ,21 years,,
 , , ,State,7365
 , , ,Carlow,93
 , , ,Dublin City,671
 , , ,Dún Laoghaire-Rathdown,299
 , , ,Fingal,438
 , , ,South Dublin,366
 , , ,Kildare,389
 , , ,Kilkenny,155
 , , ,Laois,123
 , , ,Longford,47
 , , ,Louth,209
 , , ,Meath,335
 , , ,Offaly,105
 , , ,Westmeath,131
