Education,Gender,Age,County,Occurrences
No formal education,Female,21 years,Leitrim,0
No formal education,Female,21 years,Mayo,0
No formal education,Female,21 years,Roscommon,0
No formal education,Female,21 years,Sligo,0
No formal education,Female,21 years,Cavan,0
No formal education,Female,21 years,Donegal,1
No formal education,Female,21 years,Monaghan,0
,,,,
No formal education,Female,22 years,State,4
No formal education,Female,22 years,Carlow,0
No formal education,Female,22 years,Dublin City,0
No formal education,Female,22 years,Dún Laoghaire-Rathdown,0
No formal education,Female,22 years,Fingal,0
No formal education,Female,22 years,South Dublin,0
No formal education,Female,22 years,Kildare,0
No formal education,Female,22 years,Kilkenny,0
No formal education,Female,22 years,Laois,0
No formal education,Female,22 years,Longford,0
No formal education,Female,22 years,Louth,0
No formal education,Female,22 years,Meath,0
No formal education,Female,22 years,Offaly,0
No formal education,Female,22 years,Westmeath,1
No formal education,Female,22 years,Wexford,0
No formal education,Female,22 years,Wicklow,0
No formal education,Female,22 years,Clare,0
No formal education,Female,22 years,Cork City,0
No formal education,Female,22 years,Cork County,0
No formal education,Female,22 years,Kerry,0
No formal education,Female,22 years,Limerick City and County,1
No formal education,Female,22 years,Tipperary,0
No formal education,Female,22 years,Waterford City and County,0
No formal education,Female,22 years,Galway City,0
No formal education,Female,22 years,Galway County,0
No formal education,Female,22 years,Leitrim,1
No formal education,Female,22 years,Mayo,1
No formal education,Female,22 years,Roscommon,0
No formal education,Female,22 years,Sligo,0
No formal education,Female,22 years,Cavan,0
No formal education,Female,22 years,Donegal,0
No formal education,Female,22 years,Monaghan,0
,,,,
No formal education,Female,23 years,State,3
No formal education,Female,23 years,Carlow,0
No formal education,Female,23 years,Dublin City,0
No formal education,Female,23 years,Dún Laoghaire-Rathdown,0
No formal education,Female,23 years,Fingal,0
No formal education,Female,23 years,South Dublin,0
No formal education,Female,23 years,Kildare,0
No formal education,Female,23 years,Kilkenny,0
No formal education,Female,23 years,Laois,1
No formal education,Female,23 years,Longford,0
No formal education,Female,23 years,Louth,0
No formal education,Female,23 years,Meath,0
No formal education,Female,23 years,Offaly,0
No formal education,Female,23 years,Westmeath,1
No formal education,Female,23 years,Wexford,0
No formal education,Female,23 years,Wicklow,0
No formal education,Female,23 years,Clare,0
No formal education,Female,23 years,Cork City,0
No formal education,Female,23 years,Cork County,1
No formal education,Female,23 years,Kerry,0
No formal education,Female,23 years,Limerick City and County,0
No formal education,Female,23 years,Tipperary,0
No formal education,Female,23 years,Waterford City and County,0
No formal education,Female,23 years,Galway City,0
No formal education,Female,23 years,Galway County,0
No formal education,Female,23 years,Leitrim,0
No formal education,Female,23 years,Mayo,0
No formal education,Female,23 years,Roscommon,0
No formal education,Female,23 years,Sligo,0
No formal education,Female,23 years,Cavan,0
No formal education,Female,23 years,Donegal,0
No formal education,Female,23 years,Monaghan,0
,,,,
No formal education,Female,24 years,State,4
No formal education,Female,24 years,Carlow,0
No formal education,Female,24 years,Dublin City,0
No formal education,Female,24 years,Dún Laoghaire-Rathdown,0
No formal education,Female,24 years,Fingal,0
No formal education,Female,24 years,South Dublin,0
No formal education,Female,24 years,Kildare,0
No formal education,Female,24 years,Kilkenny,0
No formal education,Female,24 years,Laois,0
No formal education,Female,24 years,Longford,0
No formal education,Female,24 years,Louth,0
No formal education,Female,24 years,Meath,0
No formal education,Female,24 years,Offaly,0
No formal education,Female,24 years,Westmeath,0
No formal education,Female,24 years,Wexford,1
No formal education,Female,24 years,Wicklow,2
No formal education,Female,24 years,Clare,0
No formal education,Female,24 years,Cork City,0
No formal education,Female,24 years,Cork County,0
No formal education,Female,24 years,Kerry,0
No formal education,Female,24 years,Limerick City and County,0
No formal education,Female,24 years,Tipperary,0
