Education,Gender,Age,County,Occurrences
Ordinary bachelor degree/professional qualification or both,Male,20 years,Westmeath,121
Ordinary bachelor degree/professional qualification or both,Male,20 years,Wexford,198
Ordinary bachelor degree/professional qualification or both,Male,20 years,Wicklow,228
Ordinary bachelor degree/professional qualification or both,Male,20 years,Clare,194
Ordinary bachelor degree/professional qualification or both,Male,20 years,Cork City,156
Ordinary bachelor degree/professional qualification or both,Male,20 years,Cork County,735
Ordinary bachelor degree/professional qualification or both,Male,20 years,Kerry,218
Ordinary bachelor degree/professional qualification or both,Male,20 years,Limerick City and County,280
Ordinary bachelor degree/professional qualification or both,Male,20 years,Tipperary,209
Ordinary bachelor degree/professional qualification or both,Male,20 years,Waterford City and County,170
Ordinary bachelor degree/professional qualification or both,Male,20 years,Galway City,106
Ordinary bachelor degree/professional qualification or both,Male,20 years,Galway County,294
Ordinary bachelor degree/professional qualification or both,Male,20 years,Leitrim,47
Ordinary bachelor degree/professional qualification or both,Male,20 years,Mayo,165
Ordinary bachelor degree/professional qualification or both,Male,20 years,Roscommon,108
Ordinary bachelor degree/professional qualification or both,Male,20 years,Sligo,99
Ordinary bachelor degree/professional qualification or both,Male,20 years,Cavan,121
Ordinary bachelor degree/professional qualification or both,Male,20 years,Donegal,180
Ordinary bachelor degree/professional qualification or both,Male,20 years,Monaghan,92
,,,,
Ordinary bachelor degree/professional qualification or both,Male,21 years,State,14892
Ordinary bachelor degree/professional qualification or both,Male,21 years,Carlow,144
Ordinary bachelor degree/professional qualification or both,Male,21 years,Dublin City,1452
Ordinary bachelor degree/professional qualification or both,Male,21 years,Dún Laoghaire-Rathdown,854
Ordinary bachelor degree/professional qualification or both,Male,21 years,Fingal,970
Ordinary bachelor degree/professional qualification or both,Male,21 years,South Dublin,744
Ordinary bachelor degree/professional qualification or both,Male,21 years,Kildare,756
Ordinary bachelor degree/professional qualification or both,Male,21 years,Kilkenny,320
Ordinary bachelor degree/professional qualification or both,Male,21 years,Laois,217
Ordinary bachelor degree/professional qualification or both,Male,21 years,Longford,109
Ordinary bachelor degree/professional qualification or both,Male,21 years,Louth,421
Ordinary bachelor degree/professional qualification or both,Male,21 years,Meath,682
Ordinary bachelor degree/professional qualification or both,Male,21 years,Offaly,196
Ordinary bachelor degree/professional qualification or both,Male,21 years,Westmeath,268
Ordinary bachelor degree/professional qualification or both,Male,21 years,Wexford,409
Ordinary bachelor degree/professional qualification or both,Male,21 years,Wicklow,480
Ordinary bachelor degree/professional qualification or both,Male,21 years,Clare,404
Ordinary bachelor degree/professional qualification or both,Male,21 years,Cork City,318
Ordinary bachelor degree/professional qualification or both,Male,21 years,Cork County,1576
Ordinary bachelor degree/professional qualification or both,Male,21 years,Kerry,540
Ordinary bachelor degree/professional qualification or both,Male,21 years,Limerick City and County,595
Ordinary bachelor degree/professional qualification or both,Male,21 years,Tipperary,468
Ordinary bachelor degree/professional qualification or both,Male,21 years,Waterford City and County,343
Ordinary bachelor degree/professional qualification or both,Male,21 years,Galway City,252
Ordinary bachelor degree/professional qualification or both,Male,21 years,Galway County,637
Ordinary bachelor degree/professional qualification or both,Male,21 years,Leitrim,108
Ordinary bachelor degree/professional qualification or both,Male,21 years,Mayo,418
Ordinary bachelor degree/professional qualification or both,Male,21 years,Roscommon,205
Ordinary bachelor degree/professional qualification or both,Male,21 years,Sligo,222
Ordinary bachelor degree/professional qualification or both,Male,21 years,Cavan,229
Ordinary bachelor degree/professional qualification or both,Male,21 years,Donegal,384
Ordinary bachelor degree/professional qualification or both,Male,21 years,Monaghan,171
,,,,
Ordinary bachelor degree/professional qualification or both,Male,22 years,State,13702
Ordinary bachelor degree/professional qualification or both,Male,22 years,Carlow,136
Ordinary bachelor degree/professional qualification or both,Male,22 years,Dublin City,1596
Ordinary bachelor degree/professional qualification or both,Male,22 years,Dún Laoghaire-Rathdown,845
Ordinary bachelor degree/professional qualification or both,Male,22 years,Fingal,912
Ordinary bachelor degree/professional qualification or both,Male,22 years,South Dublin,650
Ordinary bachelor degree/professional qualification or both,Male,22 years,Kildare,677
Ordinary bachelor degree/professional qualification or both,Male,22 years,Kilkenny,273
Ordinary bachelor degree/professional qualification or both,Male,22 years,Laois,172
Ordinary bachelor degree/professional qualification or both,Male,22 years,Longford,98
Ordinary bachelor degree/professional qualification or both,Male,22 years,Louth,309
Ordinary bachelor degree/professional qualification or both,Male,22 years,Meath,544
Ordinary bachelor degree/professional qualification or both,Male,22 years,Offaly,146
Ordinary bachelor degree/professional qualification or both,Male,22 years,Westmeath,237
Ordinary bachelor degree/professional qualification or both,Male,22 years,Wexford,373
Ordinary bachelor degree/professional qualification or both,Male,22 years,Wicklow,485
Ordinary bachelor degree/professional qualification or both,Male,22 years,Clare,406
Ordinary bachelor degree/professional qualification or both,Male,22 years,Cork City,346
Ordinary bachelor degree/professional qualification or both,Male,22 years,Cork County,1439
Ordinary bachelor degree/professional qualification or both,Male,22 years,Kerry,496
Ordinary bachelor degree/professional qualification or both,Male,22 years,Limerick City and County,613
Ordinary bachelor degree/professional qualification or both,Male,22 years,Tipperary,405
Ordinary bachelor degree/professional qualification or both,Male,22 years,Waterford City and County,293
Ordinary bachelor degree/professional qualification or both,Male,22 years,Galway City,268
Ordinary bachelor degree/professional qualification or both,Male,22 years,Galway County,527
Ordinary bachelor degree/professional qualification or both,Male,22 years,Leitrim,91
Ordinary bachelor degree/professional qualification or both,Male,22 years,Mayo,370
Ordinary bachelor degree/professional qualification or both,Male,22 years,Roscommon,176
Ordinary bachelor degree/professional qualification or both,Male,22 years,Sligo,165
Ordinary bachelor degree/professional qualification or both,Male,22 years,Cavan,172
Ordinary bachelor degree/professional qualification or both,Male,22 years,Donegal,346
Ordinary bachelor degree/professional qualification or both,Male,22 years,Monaghan,136
,,,,
Ordinary bachelor degree/professional qualification or both,Male,23 years,State,8522
Ordinary bachelor degree/professional qualification or both,Male,23 years,Carlow,83
Ordinary bachelor degree/professional qualification or both,Male,23 years,Dublin City,1216
Ordinary bachelor degree/professional qualification or both,Male,23 years,Dún Laoghaire-Rathdown,533
Ordinary bachelor degree/professional qualification or both,Male,23 years,Fingal,575
Ordinary bachelor degree/professional qualification or both,Male,23 years,South Dublin,429
Ordinary bachelor degree/professional qualification or both,Male,23 years,Kildare,419
Ordinary bachelor degree/professional qualification or both,Male,23 years,Kilkenny,156
Ordinary bachelor degree/professional qualification or both,Male,23 years,Laois,115
Ordinary bachelor degree/professional qualification or both,Male,23 years,Longford,47
Ordinary bachelor degree/professional qualification or both,Male,23 years,Louth,198
Ordinary bachelor degree/professional qualification or both,Male,23 years,Meath,331
Ordinary bachelor degree/professional qualification or both,Male,23 years,Offaly,94
Ordinary bachelor degree/professional qualification or both,Male,23 years,Westmeath,152
Ordinary bachelor degree/professional qualification or both,Male,23 years,Wexford,206
Ordinary bachelor degree/professional qualification or both,Male,23 years,Wicklow,301
Ordinary bachelor degree/professional qualification or both,Male,23 years,Clare,220
Ordinary bachelor degree/professional qualification or both,Male,23 years,Cork City,249
Ordinary bachelor degree/professional qualification or both,Male,23 years,Cork County,838
Ordinary bachelor degree/professional qualification or both,Male,23 years,Kerry,274
Ordinary bachelor degree/professional qualification or both,Male,23 years,Limerick City and County,318
Ordinary bachelor degree/professional qualification or both,Male,23 years,Tipperary,206
Ordinary bachelor degree/professional qualification or both,Male,23 years,Waterford City and County,159
Ordinary bachelor degree/professional qualification or both,Male,23 years,Galway City,181
Ordinary bachelor degree/professional qualification or both,Male,23 years,Galway County,337
Ordinary bachelor degree/professional qualification or both,Male,23 years,Leitrim,48
Ordinary bachelor degree/professional qualification or both,Male,23 years,Mayo,239
Ordinary bachelor degree/professional qualification or both,Male,23 years,Roscommon,120
Ordinary bachelor degree/professional qualification or both,Male,23 years,Sligo,112
Ordinary bachelor degree/professional qualification or both,Male,23 years,Cavan,94
Ordinary bachelor degree/professional qualification or both,Male,23 years,Donegal,189
Ordinary bachelor degree/professional qualification or both,Male,23 years,Monaghan,83
,,,,
Ordinary bachelor degree/professional qualification or both,Male,24 years,State,6143
Ordinary bachelor degree/professional qualification or both,Male,24 years,Carlow,56
Ordinary bachelor degree/professional qualification or both,Male,24 years,Dublin City,899
Ordinary bachelor degree/professional qualification or both,Male,24 years,Dún Laoghaire-Rathdown,421
Ordinary bachelor degree/professional qualification or both,Male,24 years,Fingal,455
Ordinary bachelor degree/professional qualification or both,Male,24 years,South Dublin,346
Ordinary bachelor degree/professional qualification or both,Male,24 years,Kildare,301
Ordinary bachelor degree/professional qualification or both,Male,24 years,Kilkenny,115
Ordinary bachelor degree/professional qualification or both,Male,24 years,Laois,76
Ordinary bachelor degree/professional qualification or both,Male,24 years,Longford,43
Ordinary bachelor degree/professional qualification or both,Male,24 years,Louth,146
Ordinary bachelor degree/professional qualification or both,Male,24 years,Meath,235
Ordinary bachelor degree/professional qualification or both,Male,24 years,Offaly,60
Ordinary bachelor degree/professional qualification or both,Male,24 years,Westmeath,109
Ordinary bachelor degree/professional qualification or both,Male,24 years,Wexford,141
Ordinary bachelor degree/professional qualification or both,Male,24 years,Wicklow,200
Ordinary bachelor degree/professional qualification or both,Male,24 years,Clare,148
Ordinary bachelor degree/professional qualification or both,Male,24 years,Cork City,190
Ordinary bachelor degree/professional qualification or both,Male,24 years,Cork County,567
Ordinary bachelor degree/professional qualification or both,Male,24 years,Kerry,198
Ordinary bachelor degree/professional qualification or both,Male,24 years,Limerick City and County,237
Ordinary bachelor degree/professional qualification or both,Male,24 years,Tipperary,161
Ordinary bachelor degree/professional qualification or both,Male,24 years,Waterford City and County,116
Ordinary bachelor degree/professional qualification or both,Male,24 years,Galway City,114
Ordinary bachelor degree/professional qualification or both,Male,24 years,Galway County,220
Ordinary bachelor degree/professional qualification or both,Male,24 years,Leitrim,40
Ordinary bachelor degree/professional qualification or both,Male,24 years,Mayo,144
Ordinary bachelor degree/professional qualification or both,Male,24 years,Roscommon,72
Ordinary bachelor degree/professional qualification or both,Male,24 years,Sligo,84
Ordinary bachelor degree/professional qualification or both,Male,24 years,Cavan,70
Ordinary bachelor degree/professional qualification or both,Male,24 years,Donegal,127
Ordinary bachelor degree/professional qualification or both,Male,24 years,Monaghan,52
,,,,
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,State,17605
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Carlow,155
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Dublin City,2610
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Dún Laoghaire-Rathdown,1037
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Fingal,1260
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,South Dublin,1017
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Kildare,769
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Kilkenny,330
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Laois,258
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Longford,139
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Louth,434
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Meath,637
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Offaly,202
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Westmeath,301
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Wexford,448
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Wicklow,554
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Clare,410
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Cork City,578
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Cork County,1464
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Kerry,538
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Limerick City and County,616
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Tipperary,489
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Waterford City and County,423
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Galway City,471
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Galway County,658
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Leitrim,113
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Mayo,453
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Roscommon,195
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Sligo,243
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Cavan,206
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Donegal,445
Ordinary bachelor degree/professional qualification or both,Male,25 years and over,Monaghan,152
,,,,
,,,,
Ordinary bachelor degree/professional qualification or both,Female,18 years,State,8355
Ordinary bachelor degree/professional qualification or both,Female,18 years,Carlow,81
Ordinary bachelor degree/professional qualification or both,Female,18 years,Dublin City,867
Ordinary bachelor degree/professional qualification or both,Female,18 years,Dún Laoghaire-Rathdown,455
Ordinary bachelor degree/professional qualification or both,Female,18 years,Fingal,660
Ordinary bachelor degree/professional qualification or both,Female,18 years,South Dublin,576
Ordinary bachelor degree/professional qualification or both,Female,18 years,Kildare,461
Ordinary bachelor degree/professional qualification or both,Female,18 years,Kilkenny,163
Ordinary bachelor degree/professional qualification or both,Female,18 years,Laois,143
Ordinary bachelor degree/professional qualification or both,Female,18 years,Longford,62
Ordinary bachelor degree/professional qualification or both,Female,18 years,Louth,200
Ordinary bachelor degree/professional qualification or both,Female,18 years,Meath,430
Ordinary bachelor degree/professional qualification or both,Female,18 years,Offaly,141
Ordinary bachelor degree/professional qualification or both,Female,18 years,Westmeath,129
Ordinary bachelor degree/professional qualification or both,Female,18 years,Wexford,266
Ordinary bachelor degree/professional qualification or both,Female,18 years,Wicklow,272
Ordinary bachelor degree/professional qualification or both,Female,18 years,Clare,239
Ordinary bachelor degree/professional qualification or both,Female,18 years,Cork City,173
Ordinary bachelor degree/professional qualification or both,Female,18 years,Cork County,721
Ordinary bachelor degree/professional qualification or both,Female,18 years,Kerry,201
Ordinary bachelor degree/professional qualification or both,Female,18 years,Limerick City and County,347
Ordinary bachelor degree/professional qualification or both,Female,18 years,Tipperary,264
Ordinary bachelor degree/professional qualification or both,Female,18 years,Waterford City and County,173
Ordinary bachelor degree/professional qualification or both,Female,18 years,Galway City,116
Ordinary bachelor degree/professional qualification or both,Female,18 years,Galway County,332
Ordinary bachelor degree/professional qualification or both,Female,18 years,Leitrim,54
Ordinary bachelor degree/professional qualification or both,Female,18 years,Mayo,207
Ordinary bachelor degree/professional qualification or both,Female,18 years,Roscommon,111
Ordinary bachelor degree/professional qualification or both,Female,18 years,Sligo,118
Ordinary bachelor degree/professional qualification or both,Female,18 years,Cavan,110
Ordinary bachelor degree/professional qualification or both,Female,18 years,Donegal,195
Ordinary bachelor degree/professional qualification or both,Female,18 years,Monaghan,88
,,,,
Ordinary bachelor degree/professional qualification or both,Female,19 years,State,5588
Ordinary bachelor degree/professional qualification or both,Female,19 years,Carlow,57
Ordinary bachelor degree/professional qualification or both,Female,19 years,Dublin City,509
Ordinary bachelor degree/professional qualification or both,Female,19 years,Dún Laoghaire-Rathdown,275
Ordinary bachelor degree/professional qualification or both,Female,19 years,Fingal,397
Ordinary bachelor degree/professional qualification or both,Female,19 years,South Dublin,302
Ordinary bachelor degree/professional qualification or both,Female,19 years,Kildare,301
Ordinary bachelor degree/professional qualification or both,Female,19 years,Kilkenny,118
Ordinary bachelor degree/professional qualification or both,Female,19 years,Laois,83
Ordinary bachelor degree/professional qualification or both,Female,19 years,Longford,41
Ordinary bachelor degree/professional qualification or both,Female,19 years,Louth,154
Ordinary bachelor degree/professional qualification or both,Female,19 years,Meath,303
Ordinary bachelor degree/professional qualification or both,Female,19 years,Offaly,78
Ordinary bachelor degree/professional qualification or both,Female,19 years,Westmeath,93
Ordinary bachelor degree/professional qualification or both,Female,19 years,Wexford,183
Ordinary bachelor degree/professional qualification or both,Female,19 years,Wicklow,207
Ordinary bachelor degree/professional qualification or both,Female,19 years,Clare,160
Ordinary bachelor degree/professional qualification or both,Female,19 years,Cork City,113
Ordinary bachelor degree/professional qualification or both,Female,19 years,Cork County,557
Ordinary bachelor degree/professional qualification or both,Female,19 years,Kerry,185
Ordinary bachelor degree/professional qualification or both,Female,19 years,Limerick City and County,247
Ordinary bachelor degree/professional qualification or both,Female,19 years,Tipperary,178
Ordinary bachelor degree/professional qualification or both,Female,19 years,Waterford City and County,149
Ordinary bachelor degree/professional qualification or both,Female,19 years,Galway City,81
Ordinary bachelor degree/professional qualification or both,Female,19 years,Galway County,209
Ordinary bachelor degree/professional qualification or both,Female,19 years,Leitrim,31
Ordinary bachelor degree/professional qualification or both,Female,19 years,Mayo,134
Ordinary bachelor degree/professional qualification or both,Female,19 years,Roscommon,68
Ordinary bachelor degree/professional qualification or both,Female,19 years,Sligo,71
Ordinary bachelor degree/professional qualification or both,Female,19 years,Cavan,90
Ordinary bachelor degree/professional qualification or both,Female,19 years,Donegal,164
Ordinary bachelor degree/professional qualification or both,Female,19 years,Monaghan,50
,,,,
Ordinary bachelor degree/professional qualification or both,Female,20 years,State,10706
Ordinary bachelor degree/professional qualification or both,Female,20 years,Carlow,113
Ordinary bachelor degree/professional qualification or both,Female,20 years,Dublin City,871
Ordinary bachelor degree/professional qualification or both,Female,20 years,Dún Laoghaire-Rathdown,613
Ordinary bachelor degree/professional qualification or both,Female,20 years,Fingal,699
Ordinary bachelor degree/professional qualification or both,Female,20 years,South Dublin,558
Ordinary bachelor degree/professional qualification or both,Female,20 years,Kildare,537
Ordinary bachelor degree/professional qualification or both,Female,20 years,Kilkenny,257
Ordinary bachelor degree/professional qualification or both,Female,20 years,Laois,173
Ordinary bachelor degree/professional qualification or both,Female,20 years,Longford,73
Ordinary bachelor degree/professional qualification or both,Female,20 years,Louth,318
Ordinary bachelor degree/professional qualification or both,Female,20 years,Meath,491
Ordinary bachelor degree/professional qualification or both,Female,20 years,Offaly,158
Ordinary bachelor degree/professional qualification or both,Female,20 years,Westmeath,205
Ordinary bachelor degree/professional qualification or both,Female,20 years,Wexford,296
Ordinary bachelor degree/professional qualification or both,Female,20 years,Wicklow,341
Ordinary bachelor degree/professional qualification or both,Female,20 years,Clare,299
Ordinary bachelor degree/professional qualification or both,Female,20 years,Cork City,196
Ordinary bachelor degree/professional qualification or both,Female,20 years,Cork County,1102
Ordinary bachelor degree/professional qualification or both,Female,20 years,Kerry,419
Ordinary bachelor degree/professional qualification or both,Female,20 years,Limerick City and County,430
Ordinary bachelor degree/professional qualification or both,Female,20 years,Tipperary,322
Ordinary bachelor degree/professional qualification or both,Female,20 years,Waterford City and County,247
Ordinary bachelor degree/professional qualification or both,Female,20 years,Galway City,178
Ordinary bachelor degree/professional qualification or both,Female,20 years,Galway County,462
Ordinary bachelor degree/professional qualification or both,Female,20 years,Leitrim,73
Ordinary bachelor degree/professional qualification or both,Female,20 years,Mayo,257
Ordinary bachelor degree/professional qualification or both,Female,20 years,Roscommon,138
Ordinary bachelor degree/professional qualification or both,Female,20 years,Sligo,176
Ordinary bachelor degree/professional qualification or both,Female,20 years,Cavan,181
Ordinary bachelor degree/professional qualification or both,Female,20 years,Donegal,373
Ordinary bachelor degree/professional qualification or both,Female,20 years,Monaghan,150
,,,,
Ordinary bachelor degree/professional qualification or both,Female,21 years,State,19175
Ordinary bachelor degree/professional qualification or both,Female,21 years,Carlow,192
Ordinary bachelor degree/professional qualification or both,Female,21 years,Dublin City,1801
Ordinary bachelor degree/professional qualification or both,Female,21 years,Dún Laoghaire-Rathdown,1130
Ordinary bachelor degree/professional qualification or both,Female,21 years,Fingal,1159
Ordinary bachelor degree/professional qualification or both,Female,21 years,South Dublin,915
Ordinary bachelor degree/professional qualification or both,Female,21 years,Kildare,911
Ordinary bachelor degree/professional qualification or both,Female,21 years,Kilkenny,430
Ordinary bachelor degree/professional qualification or both,Female,21 years,Laois,305
Ordinary bachelor degree/professional qualification or both,Female,21 years,Longford,134
Ordinary bachelor degree/professional qualification or both,Female,21 years,Louth,509
Ordinary bachelor degree/professional qualification or both,Female,21 years,Meath,751
Ordinary bachelor degree/professional qualification or both,Female,21 years,Offaly,284
Ordinary bachelor degree/professional qualification or both,Female,21 years,Westmeath,317
Ordinary bachelor degree/professional qualification or both,Female,21 years,Wexford,585
Ordinary bachelor degree/professional qualification or both,Female,21 years,Wicklow,625
Ordinary bachelor degree/professional qualification or both,Female,21 years,Clare,578
Ordinary bachelor degree/professional qualification or both,Female,21 years,Cork City,411
Ordinary bachelor degree/professional qualification or both,Female,21 years,Cork County,1935
Ordinary bachelor degree/professional qualification or both,Female,21 years,Kerry,735
Ordinary bachelor degree/professional qualification or both,Female,21 years,Limerick City and County,708
Ordinary bachelor degree/professional qualification or both,Female,21 years,Tipperary,602
Ordinary bachelor degree/professional qualification or both,Female,21 years,Waterford City and County,426
Ordinary bachelor degree/professional qualification or both,Female,21 years,Galway City,320
Ordinary bachelor degree/professional qualification or both,Female,21 years,Galway County,867
Ordinary bachelor degree/professional qualification or both,Female,21 years,Leitrim,147
Ordinary bachelor degree/professional qualification or both,Female,21 years,Mayo,581
Ordinary bachelor degree/professional qualification or both,Female,21 years,Roscommon,291
Ordinary bachelor degree/professional qualification or both,Female,21 years,Sligo,345
Ordinary bachelor degree/professional qualification or both,Female,21 years,Cavan,273
Ordinary bachelor degree/professional qualification or both,Female,21 years,Donegal,660
Ordinary bachelor degree/professional qualification or both,Female,21 years,Monaghan,248
,,,,
Ordinary bachelor degree/professional qualification or both,Female,22 years,State,15217
Ordinary bachelor degree/professional qualification or both,Female,22 years,Carlow,144
Ordinary bachelor degree/professional qualification or both,Female,22 years,Dublin City,1767
Ordinary bachelor degree/professional qualification or both,Female,22 years,Dún Laoghaire-Rathdown,880
Ordinary bachelor degree/professional qualification or both,Female,22 years,Fingal,1001
Ordinary bachelor degree/professional qualification or both,Female,22 years,South Dublin,658
Ordinary bachelor degree/professional qualification or both,Female,22 years,Kildare,674
Ordinary bachelor degree/professional qualification or both,Female,22 years,Kilkenny,415
Ordinary bachelor degree/professional qualification or both,Female,22 years,Laois,204
Ordinary bachelor degree/professional qualification or both,Female,22 years,Longford,127
Ordinary bachelor degree/professional qualification or both,Female,22 years,Louth,354
Ordinary bachelor degree/professional qualification or both,Female,22 years,Meath,560
Ordinary bachelor degree/professional qualification or both,Female,22 years,Offaly,200
Ordinary bachelor degree/professional qualification or both,Female,22 years,Westmeath,274
Ordinary bachelor degree/professional qualification or both,Female,22 years,Wexford,399
Ordinary bachelor degree/professional qualification or both,Female,22 years,Wicklow,445
Ordinary bachelor degree/professional qualification or both,Female,22 years,Clare,444
Ordinary bachelor degree/professional qualification or both,Female,22 years,Cork City,364
Ordinary bachelor degree/professional qualification or both,Female,22 years,Cork County,1529
Ordinary bachelor degree/professional qualification or both,Female,22 years,Kerry,587
Ordinary bachelor degree/professional qualification or both,Female,22 years,Limerick City and County,585
Ordinary bachelor degree/professional qualification or both,Female,22 years,Tipperary,447
Ordinary bachelor degree/professional qualification or both,Female,22 years,Waterford City and County,351
Ordinary bachelor degree/professional qualification or both,Female,22 years,Galway City,305
Ordinary bachelor degree/professional qualification or both,Female,22 years,Galway County,662
Ordinary bachelor degree/professional qualification or both,Female,22 years,Leitrim,88
Ordinary bachelor degree/professional qualification or both,Female,22 years,Mayo,417
Ordinary bachelor degree/professional qualification or both,Female,22 years,Roscommon,203
Ordinary bachelor degree/professional qualification or both,Female,22 years,Sligo,227
Ordinary bachelor degree/professional qualification or both,Female,22 years,Cavan,227
Ordinary bachelor degree/professional qualification or both,Female,22 years,Donegal,483
Ordinary bachelor degree/professional qualification or both,Female,22 years,Monaghan,196
,,,,
Ordinary bachelor degree/professional qualification or both,Female,23 years,State,8829
Ordinary bachelor degree/professional qualification or both,Female,23 years,Carlow,87
Ordinary bachelor degree/professional qualification or both,Female,23 years,Dublin City,1135
Ordinary bachelor degree/professional qualification or both,Female,23 years,Dún Laoghaire-Rathdown,543
Ordinary bachelor degree/professional qualification or both,Female,23 years,Fingal,589
Ordinary bachelor degree/professional qualification or both,Female,23 years,South Dublin,441
Ordinary bachelor degree/professional qualification or both,Female,23 years,Kildare,401
Ordinary bachelor degree/professional qualification or both,Female,23 years,Kilkenny,207
Ordinary bachelor degree/professional qualification or both,Female,23 years,Laois,124
Ordinary bachelor degree/professional qualification or both,Female,23 years,Longford,62
Ordinary bachelor degree/professional qualification or both,Female,23 years,Louth,192
Ordinary bachelor degree/professional qualification or both,Female,23 years,Meath,326
Ordinary bachelor degree/professional qualification or both,Female,23 years,Offaly,121
Ordinary bachelor degree/professional qualification or both,Female,23 years,Westmeath,134
Ordinary bachelor degree/professional qualification or both,Female,23 years,Wexford,266
Ordinary bachelor degree/professional qualification or both,Female,23 years,Wicklow,304
Ordinary bachelor degree/professional qualification or both,Female,23 years,Clare,217
Ordinary bachelor degree/professional qualification or both,Female,23 years,Cork City,229
Ordinary bachelor degree/professional qualification or both,Female,23 years,Cork County,852
Ordinary bachelor degree/professional qualification or both,Female,23 years,Kerry,308
Ordinary bachelor degree/professional qualification or both,Female,23 years,Limerick City and County,335
Ordinary bachelor degree/professional qualification or both,Female,23 years,Tipperary,246
Ordinary bachelor degree/professional qualification or both,Female,23 years,Waterford City and County,179
Ordinary bachelor degree/professional qualification or both,Female,23 years,Galway City,189
Ordinary bachelor degree/professional qualification or both,Female,23 years,Galway County,359
Ordinary bachelor degree/professional qualification or both,Female,23 years,Leitrim,46
Ordinary bachelor degree/professional qualification or both,Female,23 years,Mayo,281
Ordinary bachelor degree/professional qualification or both,Female,23 years,Roscommon,109
Ordinary bachelor degree/professional qualification or both,Female,23 years,Sligo,107
Ordinary bachelor degree/professional qualification or both,Female,23 years,Cavan,117
Ordinary bachelor degree/professional qualification or both,Female,23 years,Donegal,218
Ordinary bachelor degree/professional qualification or both,Female,23 years,Monaghan,105
,,,,
Ordinary bachelor degree/professional qualification or both,Female,24 years,State,5818
Ordinary bachelor degree/professional qualification or both,Female,24 years,Carlow,46
Ordinary bachelor degree/professional qualification or both,Female,24 years,Dublin City,773
Ordinary bachelor degree/professional qualification or both,Female,24 years,Dún Laoghaire-Rathdown,349
Ordinary bachelor degree/professional qualification or both,Female,24 years,Fingal,441
Ordinary bachelor degree/professional qualification or both,Female,24 years,South Dublin,311
Ordinary bachelor degree/professional qualification or both,Female,24 years,Kildare,220
Ordinary bachelor degree/professional qualification or both,Female,24 years,Kilkenny,107
Ordinary bachelor degree/professional qualification or both,Female,24 years,Laois,86
Ordinary bachelor degree/professional qualification or both,Female,24 years,Longford,37
Ordinary bachelor degree/professional qualification or both,Female,24 years,Louth,120
Ordinary bachelor degree/professional qualification or both,Female,24 years,Meath,209
Ordinary bachelor degree/professional qualification or both,Female,24 years,Offaly,84
Ordinary bachelor degree/professional qualification or both,Female,24 years,Westmeath,102
Ordinary bachelor degree/professional qualification or both,Female,24 years,Wexford,157
Ordinary bachelor degree/professional qualification or both,Female,24 years,Wicklow,190
Ordinary bachelor degree/professional qualification or both,Female,24 years,Clare,140
Ordinary bachelor degree/professional qualification or both,Female,24 years,Cork City,179
Ordinary bachelor degree/professional qualification or both,Female,24 years,Cork County,546
Ordinary bachelor degree/professional qualification or both,Female,24 years,Kerry,186
Ordinary bachelor degree/professional qualification or both,Female,24 years,Limerick City and County,204
Ordinary bachelor degree/professional qualification or both,Female,24 years,Tipperary,197
Ordinary bachelor degree/professional qualification or both,Female,24 years,Waterford City and County,110
Ordinary bachelor degree/professional qualification or both,Female,24 years,Galway City,154
Ordinary bachelor degree/professional qualification or both,Female,24 years,Galway County,210
Ordinary bachelor degree/professional qualification or both,Female,24 years,Leitrim,38
Ordinary bachelor degree/professional qualification or both,Female,24 years,Mayo,149
Ordinary bachelor degree/professional qualification or both,Female,24 years,Roscommon,75
